plot id,SPECIES,Tree,DBH_17 (inches),DBH_24,HT_17,HT_24,LLC_17,HCB_24,LLC_24,NOTES,CONDITON
LC1,BF,44,4.3,6.1,9.5,,2.5,,,,1
LC1,BF,48,2.9,3.7,7.2,,2.4,,,,1
LC1,BF,51,2.3,2.6,5.6,,2.4,,,,1
LC1,BF,52,2.6,2.8,5.7,,3.1,,,,1
LC1,BF,53,1.4,,4.5,,3.1,,,dead,4
LC1,BF,54,4.6,6.1,9.3,,2.2,,,,1
LC1,BF,55,3.9,6.6,9.6,,1.3,,,,1
LC1,BF,58,3.2,4.5,8.8,,3,,,,1
LC1,BF,61,2.7,3.4,6.5,,3.5,,,,1
LC1,BF,62,3.3,3.8,7.3,,3.5,,,,1
LC1,BF,63,3.8,5.5,9.1,,3.1,,,,1
LC1,BF,64,3.5,4.9,9.3,,3.9,,,,1
LC1,BF,67,2.5,4.2,5.2,,1.9,,,,1
LC1,BF,68,3.7,4.9,9.1,,2.6,,,,1
LC1,BF,70,2.5,3.5,8.4,,2.7,,,,1
LC1,BF,71,5.4,7.7,10.6,,4.5,,,,1
LC1,BF,72,2.2,3.1,6.2,,4,,,,1
LC1,BF,73,2.8,3.3,7.2,,4.3,,,,1
LC1,BF,74,4.5,5.8,9.3,,3.3,,,,1
LC1,BF,75,2.2,3.4,6.7,,2.5,,,,1
LC1,BF,76,2.4,3.3,6.7,,2.2,,,,1
LC1,BF,77,2.8,4.5,7.9,,0.98,,,,1
LC1,BF,78,2.4,3.9,7.5,,2.4,,,,1
LC1,BF,79,2.6,3.9,8.1,,3.6,,,,1
LC1,BF,80,3.9,5.5,9.5,,3,,,,1
LC1,BF,81,1.8,2,4.2,,2.1,,,,1
LC1,BF,82,3.2,3.5,5.8,,3.2,,,,1
LC1,BF,83,2.2,2.6,5.8,,3.8,,,,1
LC1,BF,84,1,1.2,4.4,,2.9,,,,1
LC1,BF,85,2.9,3.7,8.9,,3.6,,,,1
LC1,BF,86,3.8,5,8.4,,3.2,,,,1
LC1,BF,88,1.9,2.9,15,,7.6,,,,1
LC1,BF,91,1.7,1.9,13.7,,5.7,,,,1
LC1,BF,92,2.2,2.4,3.8,,1.9,,,,1
LC1,BF,93,3.1,2.4,5.9,,3.2,,,,1
LC1,BF,95,4.9,3.8,8.2,,4.8,,,,1
LC1,BF,96,1.1,1.5,10.8,,2.9,,,,1
LC1,BT,10,5.6,8.3,18.1,,6.2,,,,1
LC1,BT,21,0,,,,,,,dead,4
LC1,BT,49,5.4,8.6,17.6,,7.6,,,,1
LC1,BT,66,5,,4.2,,4.2,,,dead,4
LC1,BT,87,4.4,6.6,13.5,,7.4,,,,1
LC1,BT,90,3.5,5.8,4.8,,1.4,,,,1
LC1,BT,97,0,,3.3,,2.7,,,dead,4
LC1,RM,26,2.1,2.7,6.8,,3,,,,1
LC1,WP,69,2.7,3.9,7.1,,2.7,,,,1
LC1,WP,94,3.1,3.7,7.7,,4.4,,,,1
LC1,WS,6,2.2,2.6,3.7,25,1.3,7.6,,,1
LC1,WS,7,2.3,3.4,6.6,28.5,2.5,15.4,,,1
LC1,WS,8,,,4.7,,3.3,,,dead,4
LC1,WS,35,2.3,4.4,6.6,30.8,1.6,13.1,,,1
LC1,WS,40,1.1,1.5,3.3,11.9,0.32,6.1,,,1
LC1,WS,47,2.3,3.2,4.7,18.7,1.2,6.6,,,1
LC1,WS,50,1.6,2.7,3.4,14.6,1.1,5.8,,,1
LC1,WS,59,1.1,1.5,3,9.6,1.3,5,,,1
LC1,WS,60,1.2,,2.8,,0.92,,,dead,4
LC2,BF,1,1.2,1.5,3.5,,1.9,,,,1
LC2,BF,7,3.1,3.8,7.4,,2.7,,,,1
LC2,BF,8,2.7,,8,,3.3,,,dead,4
LC2,BF,9,5.4,6.7,10,,4.2,,,,1
LC2,BF,10,3.7,,7.9,,1.9,,,dead,4
LC2,BF,11,2.6,3.1,6.2,,2.9,,,,1
LC2,BF,12,2.2,2.9,5.4,,0.49,,,,1
LC2,BF,17,3.1,4.4,6.6,,0.95,,,,1
LC2,BF,19,2.5,3.1,6.6,,3.2,,,,1
LC2,BF,21,3.3,3.8,7.8,,2.1,,,,1
LC2,BF,22,2.7,3.5,6.4,,2.5,,,,1
LC2,BF,23,3.9,5.1,7.8,,0.6,,,,1
LC2,BF,31,2.1,2.4,6.1,,3.1,,,,1
LC2,BF,32,1.7,2,5.9,,4.2,,,,1
LC2,BF,33,2.2,2.7,6.4,,2.5,,,,1
LC2,BF,38,4.7,6,10,,3.5,,,,1
LC2,BF,39,2.6,3.3,7.1,,2.9,,,,1
LC2,BF,40,3.2,4.2,7.9,,2.3,,,,1
LC2,BF,41,2.6,3.4,6.2,,2.7,,,,1
LC2,BF,46,3.3,4.1,7.4,,2.4,,,,1
LC2,BF,47,2.2,2.7,5.2,,1.8,,,,1
LC2,BF,48,3.2,3.4,5.9,,2.6,,,,1
LC2,BF,49,1.9,2.1,5.1,,2.6,,,,1
LC2,BF,50,3,3.8,6.7,,2.5,,,,1
LC2,BF,52,4,4.8,8.3,,2.5,,,,1
LC2,BF,53,3.4,3.9,8.1,,4.5,,,,1
LC2,BF,57,1.7,2.1,5.36,,3.5,,,,1
LC2,BF,58,2.9,3.4,6.2,,3.2,,,,1
LC2,BF,59,3.3,,8.1,,3.2,,,dead,4
LC2,BF,60,5.5,6,9.8,,3.5,,,,1
LC2,BF,61,3.3,4,7.2,,2.8,,,,1
LC2,BF,62,2.2,2.5,5.5,,1.8,,,,1
LC2,BF,63,5.2,6,9.7,,1.5,,,,1
LC2,BF,67,1.7,1.9,5.5,,3.2,,,,1
LC2,BF,68,2.5,3.2,7.5,,3.1,,,,1
LC2,BF,69,3,3.7,7.8,,3.2,,,,1
LC2,BF,70,0.7,5.2,9.7,,2.6,,,,1
LC2,BF,71,3.3,4.2,7.4,,2.4,,,,1
LC2,BF,72,2.7,3.3,6.5,,2.3,,,,1
LC2,BF,73,2.9,3.7,7.4,,2.1,,,,1
LC2,BF,79,3.1,3.7,7,,2.5,,,,1
LC2,BF,80,1.6,1.9,4.8,,2.6,,,,1
LC2,BF,81,5,5.5,9.1,,2.2,,,,1
LC2,BF,82,4.1,5,8.9,,1.4,,,,1
LC2,BF,86,2,2.3,6,,2.3,,,,1
LC2,BF,87,3.7,,9.9,,2.8,,,dead,4
LC2,BF,88,3.1,3.7,5.7,,2.2,,,,1
LC2,BF,90,3.1,3.3,6,,1.5,,,,1
LC2,BF,91,2.6,3.4,7.2,,3.1,,,,1
LC2,BF,92,3.3,3.7,7.8,,2.9,,,,1
LC2,BF,96,2.7,3.3,6,,2,,,,1
LC2,BF,97,7,,9.1,,4.2,,,dead,4
LC2,BF,98,2.1,2.5,5.2,,2.5,,,,1
LC2,BF,99,2.8,3.1,5.9,,2,,,,1
LC2,BF,1,,2.8,,,,,,,10
LC2,BF,10,,2.2,,,,,,,10
LC2,BF,11,,2.6,,,,,,,10
LC2,BF,13,,2.2,,,,,,,10
LC2,BF,14,,1.5,,,,,,,10
LC2,BF,16,,3.1,,,,,,,10
LC2,BF,17,,3.1,,,,,,,10
LC2,BF,18,,2.5,,,,,,,10
LC2,BF,2,,4.9,,,,,,,10
LC2,BF,20,,2.6,,,,,,,10
LC2,BF,21,,3.6,,,,,,,10
LC2,BF,22,,4.1,,,,,,,10
LC2,BF,23,,3.7,,,,,,,10
LC2,BF,26,,3.9,,,,,,,10
LC2,BF,27,,3.9,,,,,,,10
LC2,BF,28,,3.6,,,,,,,10
LC2,BF,30,,2.3,,,,,,,10
LC2,BF,31,,2.6,,,,,,,10
LC2,BF,33,,4.3,,,,,,,10
LC2,BF,36,,4.3,,,,,,,10
LC2,BF,37,,3.5,,,,,,,10
LC2,BF,38,,2.7,,,,,,,10
LC2,BF,4,,2.5,,,,,,,10
LC2,BF,41,,2.3,,,,,,,10
LC2,BF,42,,2.1,,,,,,,10
LC2,BF,43,,3.1,,,,,,,10
LC2,BF,44,,2.7,,,,,,,10
LC2,BF,45,,1.5,,,,,,,10
LC2,BF,46,,2,,,,,,,10
LC2,BF,47,,2.7,,,,,,,10
LC2,BF,49,,2.7,,,,,,,10
LC2,BF,5,,2.2,,,,,,,10
LC2,BF,50,,4,,,,,,,10
LC2,BF,51,,1.6,,,,,,,10
LC2,BF,52,,2.6,,,,,,,10
LC2,BF,54,,4.9,,,,,,,10
LC2,BF,55,,2.2,,,,,,,10
LC2,BF,56,,3.7,,,,,,,10
LC2,BF,6,,1.5,,,,,,,10
LC2,BF,60,,2.9,,,,,,,10
LC2,BF,61,,3.2,,,,,,,10
LC2,BF,63,,1.6,,,,,,,10
LC2,BF,64,,3.5,,,,,,,10
LC2,BF,65,,1.8,,,,,,,10
LC2,BF,66,,2.1,,,,,,,10
LC2,BF,67,,3.4,,,,,,,10
LC2,BF,68,,4.1,,,,,,,10
LC2,BF,69,,1.6,,,,,,,10
LC2,BF,70,,2.4,,,,,,,10
LC2,BF,71,,2.1,,,,,,,10
LC2,BF,72,,5.2,,,,,,,10
LC2,BF,73,,1.5,,,,,,,10
LC2,BF,74,,5,,,,,,,10
LC2,BF,75,,2.2,,,,,,,10
LC2,BF,76,,2.1,,,,,,,10
LC2,BF,77,,3,,,,,,,10
LC2,BF,78,,3.2,,,,,,,10
LC2,BF,82,,3.2,,,,,,,10
LC2,BF,83,,1.9,,,,,,,10
LC2,BF,84,,1.6,,,,,,,10
LC2,BF,85,,3.2,,,,,,,10
LC2,BF,86,,3.8,,,,,,,10
LC2,BF,87,,3.1,,,,,,,10
LC2,BF,89,,4.4,,,,,,,10
LC2,BF,90,,3.8,,,,,,,10
LC2,BS,12,,2.2,,,,,,,10
LC2,BS,8,,2.2,,,,,,,10
LC2,BT,54,4.5,5.1,10.5,,3.4,,,,1
LC2,BT,65,3.3,3.7,9.7,,4.1,,,,1
LC2,BT,74,5.3,6.3,14,,6.2,,,,1
LC2,BT,78,7.2,8.7,15.3,,5.4,,,,1
LC2,BT,83,2.2,2.7,8.6,,5.1,,,,1
LC2,BT,89,5.8,6.4,14.7,,7.3,,,,1
LC2,BT,93,5.9,6.4,14.4,,3.7,,,,1
LC2,BT,95,4.2,4.8,12.7,,4.4,,,,1
LC2,BT,19,,2.4,,,,,,,10
LC2,BT,24,,6.1,,,,,,,10
LC2,BT,62,,6.6,,,,,,,10
LC2,EH,48,,3.8,,,,,,,10
LC2,GB,53,,2.5,,,,,,,10
LC2,PB,55,0.7,0.7,3.5,,1.4,,,,1
LC2,PB,77,3.4,3.9,10.9,,5.4,,,,1
LC2,PB,25,,2.3,,,,,,,10
LC2,QA,2,3.7,4,7.8,,3.6,,,,1
LC2,QA,4,5,6.4,11.8,,2.9,,,,1
LC2,QA,5,5.6,6.4,11.6,,4.3,,,,1
LC2,RO,15,,1.9,,,,,,,10
LC2,RO,34,,2.2,,,,,,,10
LC2,RO,9,,5,,,,,,,10
LC2,RS,3,2.1,3.5,4.9,,0.48,,,,1
LC2,RS,6,2.2,2.8,4.7,,0.45,,,,1
LC2,RS,28,4.5,5.6,7.2,,0.8,,,,1
LC2,RS,29,0,,,,,,,dead,4
LC2,RS,30,2.9,3.7,5.2,,0.7,,,,1
LC2,RS,35,4.3,5.7,6.7,,0.6,,,,1
LC2,RS,37,2.2,2.8,5.4,,2.6,,,,1
LC2,RS,84,1.5,2.4,4.3,,0.56,,,,1
LC2,RS,100,2.6,3.6,5.6,,0.75,,,,1
LC2,RS,35,,3.9,,,,,,,10
LC2,WA,13,2.9,3.8,8,,2.3,,,,1
LC2,WP,26,3.3,5.9,5.7,,0.9,,,,1
LC2,WP,42,3.9,5.3,7.2,,1.9,,,,1
LC2,WP,85,2.9,4.4,4.6,,0.9,,,,1
LC2,WP,29,,3.6,,,,,,,10
LC2,WP,32,,3.5,,,,,,,10
LC2,WP,40,,2.6,,,,,,,10
LC2,WP,57,,3.6,,,,,,,10
LC2,WP,58,,5.1,,,,,,,10
LC2,WP,59,,2.3,,,,,,,10
LC2,WP,7,,5.5,,,,,,,10
LC2,WP,79,,5.5,,,,,,,10
LC2,WP,80,,3.9,,,,,,,10
LC2,WP,81,,3.7,,,,,,,10
LC2,WP,88,,3.3,,,,,,,10
LC2,WS,18,1.9,,4.8,,1.9,,,dead,4
LC2,WS,27,2,2.4,3.8,17.9,0.1,7.5,,,1
LC2,WS,44,3.7,4.6,6.5,30.8,1.1,5.7,,,1
LC2,WS,51,5.5,6.8,9.8,40.3,3.5,14.7,,,1
LC2,WS,66,2.2,2.8,5.9,33.2,0.8,6.7,,,1
LC2,WS,3,,3.8,,,,,,,10
LC2,WS,39,,2.3,,,,,,,10
LC2,WS,91,,3.1,,,,,,,10
LC3,AB,132,,1.9,,,,,,,10
LC3,AB,134,,2.8,,,,,,,10
LC3,AB,136,,4.4,,,,,,,10
LC3,AB,137,,2,,,,,,,10
LC3,AB,140,,1.9,,,,,,,10
LC3,AB,141,,2.1,,,,,,,10
LC3,AB,149,,2.1,,,,,,,10
LC3,AB,150,,3.7,,,,,,,10
LC3,AB,182,,1.5,,,,,,,10
LC3,AB,188,,2,,,,,,,10
LC3,AB,210,,1.8,,,,,,,10
LC3,AB,212,,2.2,,,,,,,10
LC3,AB,280,,1.9,,,,,,,10
LC3,AB,284,,1.7,,,,,,,10
LC3,BC,183,,2.9,,,,,,,10
LC3,BC,189,,1.9,,,,,,,10
LC3,BC,207,,1.9,,,,,,,10
LC3,BF,5,3.2,4,8.2,29.6,2.9,14.5,,,1
LC3,BF,6,3.8,3.9,9.8,,2.4,,,,1
LC3,BF,11,4.3,5.2,9.3,,4.7,,,,1
LC3,BF,14,2.6,3.1,7,,4.5,,,,1
LC3,BF,15,3.5,4.3,7.9,36.9,5.2,18.8,,,1
LC3,BF,27,3.3,4,8.1,,3.9,,,,1
LC3,BF,28,2.5,3,5.7,,3.3,,,,1
LC3,BF,31,3.7,4,8,,5.7,,,,1
LC3,BF,35,3.7,4.4,8.3,,2.8,,,,1
LC3,BF,36,1.8,,5.4,,4.4,,,dead,4
LC3,BF,37,2.3,2.5,6.2,,4.4,,,,1
LC3,BF,45,3.2,3.9,7.4,,4.7,,,,1
LC3,BF,46,3,3.3,7.4,,5.3,,,,1
LC3,BF,47,2.3,2.6,7.2,,4.9,,,,1
LC3,BF,48,4.3,5,6.5,,3.4,,,,1
LC3,BF,49,2.9,3.5,6.9,,4.1,,,,1
LC3,BF,54,2.5,3,4.4,,0.5,,,,1
LC3,BF,55,4,4.8,9.4,,4.1,,,,1
LC3,BF,56,3.8,4.6,8.7,,5.7,,,,1
LC3,BF,57,2.9,3.7,6.9,,5.5,,,,1
LC3,BF,58,2.7,3.4,6.7,,4.8,,,,1
LC3,BF,59,3.3,3.8,6.6,,4.4,,,,1
LC3,BF,60,1,1.1,2.5,,2,,,,1
LC3,BF,61,4.4,5,8.8,,5.1,,,,1
LC3,BF,66,4,4.6,8.7,41.6,6.1,27.1,,,1
LC3,BF,67,2.4,2.7,6.4,,4.4,,,,1
LC3,BF,71,2.6,2.9,7.3,,5.7,,,,1
LC3,BF,72,2.9,2.6,4.8,,3.2,,,,1
LC3,BF,74,2.9,3.2,8.3,,4.2,,,,1
LC3,BF,75,3.7,4.3,8.6,,5.5,,,,1
LC3,BF,78,3,3.4,7,,4.5,,,,1
LC3,BF,81,4.6,5.4,10.5,,3.7,,,,1
LC3,BF,84,5,5.8,9.4,39.2,4,27,,,1
LC3,BF,85,3.1,3.6,8.2,34,4.8,22.4,,,1
LC3,BF,86,4.1,4.5,8.1,,5.2,,,,1
LC3,BF,88,4.3,5.3,10.5,,4.4,,,,1
LC3,BF,92,3.9,4.6,5.5,,3.4,,,,1
LC3,BF,96,5.2,6.1,10.9,,6.3,,,,1
LC3,BF,97,3.3,4,7.3,,4.9,,,,1
LC3,BF,98,1.9,2.1,5.7,,3.6,,,,1
LC3,BF,126,,3.5,,,,,,,10
LC3,BF,127,,2,,,,,,,10
LC3,BF,130,,2.1,,,,,,,10
LC3,BF,131,,2.3,,,,,,,10
LC3,BF,135,,1.7,,,,,,,10
LC3,BF,171,,4.7,,,,,,,10
LC3,BF,178,,3.8,,,,,,,10
LC3,BF,179,,3,,,,,,,10
LC3,BF,180,,2.3,,,,,,,10
LC3,BF,181,,3.6,,,,,,,10
LC3,BF,184,,1.7,,,,,,,10
LC3,BF,186,,3,,,,,,,10
LC3,BF,187,,2.6,,,,,,,10
LC3,BF,190,,2.7,,,,,,,10
LC3,BF,191,,3.4,,,,,,,10
LC3,BF,192,,1.5,,,,,,,10
LC3,BF,193,,2.5,,,,,,,10
LC3,BF,195,,2.6,,,,,,,10
LC3,BF,196,,2.1,,,,,,,10
LC3,BF,198,,2.6,,,,,,,10
LC3,BF,199,,2.3,,,,,,,10
LC3,BF,201,,2.4,,,,,,,10
LC3,BF,202,,5.2,,,,,,,10
LC3,BF,203,,4.5,,,,,,,10
LC3,BF,204,,2.3,,,,,,,10
LC3,BF,205,,3.5,,,,,,,10
LC3,BF,206,,2.8,,,,,,,10
LC3,BF,208,,2.1,,,,,,,10
LC3,BF,209,,5.5,,,,,,,10
LC3,BF,211,,4.5,,,,,,,10
LC3,BF,216,,3.7,,,,,,,10
LC3,BF,217,,2.6,,,,,,,10
LC3,BF,219,,2.3,,,,,,,10
LC3,BF,223,,3.2,,,,,,,10
LC3,BF,224,,3.1,,,,,,,10
LC3,BF,225,,2,,,,,,,10
LC3,BF,276,,2.6,,,,,,,10
LC3,BF,277,,1.6,,,,,,,10
LC3,BF,278,,3.7,,,,,,,10
LC3,BF,279,,3,,,,,,,10
LC3,BF,281,,1.9,,,,,,,10
LC3,BF,282,,3,,,,,,,10
LC3,BF,285,,2.4,,,,,,,10
LC3,BF,287,,2.1,,,,,,,10
LC3,BF,291,,2,,,,,,,10
LC3,BF,292,,3.3,,,,,,,10
LC3,BF,294,,3.1,,,,,,,10
LC3,BF,296,,3.1,,,,,,,10
LC3,BF,297,,2.9,,,,,,,10
LC3,BF,298,,1.6,,,,,,,10
LC3,BF,299,,2,,,,,,,10
LC3,BF,1001,,4.4,,,,,,,10
LC3,BT,9,3.7,4.2,9.7,51,6,27.5,,,1
LC3,BT,19,3.8,4,10.7,52.5,7.6,32.6,,,1
LC3,BT,20,4.4,5,11.6,65.2,5.7,30.7,,,1
LC3,BT,29,3.5,4.4,10.9,58.7,7.3,32.5,,,1
LC3,BT,30,5.3,6.3,13.3,58.3,9,38.1,,,1
LC3,BT,39,5,6.5,11.5,46,8.1,31.9,,,1
LC3,BT,40,6.6,7.8,12.5,55.1,8.7,33.7,,,1
LC3,BT,133,,3,,,,,,,10
LC3,NS,80,3.3,4.6,8.1,35.2,0.6,7,,,1
LC3,RM,3,2.6,2.4,7.8,31.2,3.1,17.7,,,1
LC3,RM,3,4.3,3.7,8.6,32.4,3.5,17.3,,,1
LC3,RM,18,0.9,0.9,4.3,16.4,2.1,11.1,,,1
LC3,RM,18,1.3,1.3,5.4,17.5,2.2,9.4,,,1
LC3,RM,53,2.4,3.2,7.3,24.8,2.2,16.7,,,1
LC3,RM,53,2.2,2.4,6.3,,3.1,,,,1
LC3,RM,138,,2.2,,,,,,,10
LC3,RM,139,,3.8,,,,,,,10
LC3,RM,176,,2.3,,,,,,,10
LC3,RM,177,,2.5,,,,,,,10
LC3,RM,290,,2.1,,,,,,,10
LC3,RM,293,,2.7,,,,,,,10
LC3,RM,295,,2.1,,,,,,,10
LC3,RO,89,2,2.9,6,,3.6,,,,1
LC3,RO,185,,1.9,,,,,,,10
LC3,RS,10,1.2,1.3,2.7,9.2,1.4,4,,,1
LC3,RS,23,2.9,3.5,7.1,33.5,3.8,7.5,,,1
LC3,RS,24,4.6,5.9,7.8,36.7,3.7,7.5,,,1
LC3,RS,69,2.3,2.7,4.5,20.9,0.6,7.5,,,1
LC3,RS,70,5,6.1,7.7,33.9,2,19.2,,,1
LC3,RS,220,,1.9,,,,,,,10
LC3,WP,25,3.8,4.7,8.1,41.7,4.6,19.9,,,1
LC3,WP,26,4.9,6.3,7.9,36.9,4.5,21,,,1
LC3,WP,38,5.2,5.9,7.3,32.3,4.4,22.5,,,1
LC3,WP,41,5,6.1,8.8,50.1,6,23.4,,,1
LC3,WP,77,4.8,5.9,7.4,32,4.3,20.8,,,1
LC3,WP,79,3.6,4.6,5.1,26.8,2.8,13.3,,,1
LC3,WP,95,6.4,7.9,8.5,41.2,5.1,16.7,,,1
LC3,WP,194,,5.9,,,,,,,10
LC3,WP,197,,6.2,,,,,,,10
LC3,WP,298,,1.7,,,,,,,10
LC3,WS,65,1.7,,5.2,,4.6,,,dead,4
LC3,WS,87,1.6,,4.3,,3.7,,,dead,4
LC3,WS,143,,2.5,,,,,,,10
LC3,WS,214,,1.7,,,,,,,10
LC3,WS,215,,2.7,,,,,,,10
LC3,WS,2100,,5,,,,,,,10
LC4,BF,1,2.2,3,5,,1.5,,,,1
LC4,BF,2,2,2.7,5,,1.7,,,,1
LC4,BF,3,3.8,4.9,8.9,,316,,,,1
LC4,BF,6,1.2,1.3,3.3,,1.4,,,,1
LC4,BF,7,2.4,2.9,6.6,28.9,3.1,16.7,,,1
LC4,BF,8,2.6,3.1,6.2,26.1,2.1,12.2,,,1
LC4,BF,9,1.5,2.2,3.1,,0.9,,,,1
LC4,BF,13,3.5,3.9,8.3,,4.3,,,,1
LC4,BF,14,3.5,4.4,8.4,,2.9,,,,1
LC4,BF,16,2.8,3.5,7.6,32.2,1.9,16.2,,,1
LC4,BF,17,3.5,4.2,8.8,,2.4,,,,1
LC4,BF,18,3.1,4.1,7.2,,2.7,,,,1
LC4,BF,21,2.3,2.8,6.4,28.8,3.8,15.3,,,1
LC4,BF,22,4,4.9,8.4,,3.6,,,,1
LC4,BF,23,2,2.3,5.8,,2.7,,,,1
LC4,BF,24,2.1,2.4,4.1,,1.7,,,,1
LC4,BF,26,3.5,4,8.9,,4.1,,,,1
LC4,BF,27,2.2,3,5.5,,1.2,,,,1
LC4,BF,30,3.1,3.9,6.7,,2.1,,,,1
LC4,BF,31,3.1,3.6,7.4,,3.4,,,,1
LC4,BF,32,3.2,3.9,6.9,,4,,,,1
LC4,BF,33,3.7,4.6,8.5,35.4,2.3,16.1,,,1
LC4,BF,38,3.5,4.4,7,,1.7,,,,1
LC4,BF,40,1.7,2.1,5.5,24,2.1,13.2,,,1
LC4,BF,45,3.7,4.5,8.7,29.3,4.6,11.7,,,1
LC4,BF,47,4.4,5.4,8.8,,1.9,,,,1
LC4,BF,48,2.3,2.7,4.6,,3,,,,1
LC4,BF,49,1.5,1.8,3.3,11.6,2.6,5.6,,,1
LC4,BF,50,1.9,2.3,4.1,,1.9,,,,1
LC4,BF,55,3.1,3.8,7.4,,1.7,,,,1
LC4,BF,57,3.7,4.7,7.3,,2.3,,,,1
LC4,BF,62,3,4.2,5.4,,1.6,,,,1
LC4,BF,63,1.7,2.4,4.3,,1.1,,,,1
LC4,BF,66,2.9,3.7,6.5,31.3,0.4,11.9,,,1
LC4,BF,74,1.6,2.2,4.1,,1,,,,1
LC4,BF,75,2.4,3.1,5.9,,1.2,,,,1
LC4,BF,76,2.8,3.7,6.8,29.2,1.2,7,,,1
LC4,BF,77,2.7,3.6,5.6,,2.2,,,,1
LC4,BF,80,2,2.7,4.2,,1.3,,,,1
LC4,BF,85,2.1,2.7,4.1,,1.4,,,,1
LC4,BF,87,2.9,3.5,5.6,,1.8,,,,1
LC4,BF,88,2.5,3,5.5,,2.3,,,,1
LC4,BF,89,3.1,3.9,6.5,,1.7,,,,1
LC4,BF,91,1.9,2.3,4.9,,2.3,,,102,1
LC4,BF,91,2.4,3.2,6.3,,2.7,,,,1
LC4,BF,92,2.9,4.1,6.2,,1.6,,,,1
LC4,BF,97,2.2,2.7,4.7,,1.6,,,,1
LC4,BF,98,3.3,4.2,7,,0.9,,,,1
LC4,BF,100,2.5,3.4,5.2,,0.8,,,,1
LC4,BF,1302,,3.2,,,,,,,10
LC4,BF,1402,,2,,,,,,,10
LC4,BF,1502,,2.9,,,,,,,10
LC4,BF,1602,,3.4,,,,,,,10
LC4,BF,1702,,2,,,,,,,10
LC4,BF,1802,,2.4,,,,,,,10
LC4,BF,1902,,2.3,,,,,,,10
LC4,BF,2102,,2.7,,,,,,,10
LC4,BF,2302,,2.2,,,,,,,10
LC4,BF,2402,,2.6,,,,,,,10
LC4,BF,2502,,2.2,,,,,,,10
LC4,BF,2702,,2.9,,,,,,,10
LC4,BF,2802,,3.1,,,,,,,10
LC4,BF,2902,,2.4,,,,,,,10
LC4,BF,3002,,2.3,,,,,,,10
LC4,BF,3602,,3.1,,,,,,,10
LC4,BF,3702,,2.2,,,,,,,10
LC4,BF,4302,,1.9,,,,,,,10
LC4,BF,4402,,1.6,,,,,,,10
LC4,BF,4502,,4.6,,,,,,,10
LC4,BF,4602,,3.2,,,,,,,10
LC4,BF,4702,,2,,,,,,,10
LC4,BF,4802,,1.9,,,,,,,10
LC4,BF,4902,,3.1,,,,,,,10
LC4,BF,5002,,2,,,,,,,10
LC4,BF,5202,,1.8,,,,,,,10
LC4,BF,5302,,1.9,,,,,,,10
LC4,BF,5402,,3.2,,,,,,,10
LC4,BF,5702,,3,,,,,,,10
LC4,BF,5802,,2.8,,,,,,,10
LC4,BF,5902,,2.4,,,,,,,10
LC4,BF,6202,,3.1,,,,,,,10
LC4,BF,7502,,3.4,,,,,,,10
LC4,BF,7602,,2.2,,,,,,,10
LC4,BF,7702,,2.3,,,,,,,10
LC4,BF,7802,,2.3,,,,,,,10
LC4,BF,8002,,1.6,,,,,,,10
LC4,BF,8102,,3.4,,,,,,,10
LC4,BF,8302,,3,,,,,,,10
LC4,BF,8502,,3.1,,,,,,,10
LC4,BF,8902,,3.1,,,,,,,10
LC4,BF,9002,,2.2,,,,,,,10
LC4,BF,9102,,3.6,,,,,,,10
LC4,BT,4,2,2.6,8.4,31.9,4.7,22,,,1
LC4,BT,10,4.4,5.8,13,50.8,8.8,36,,,1
LC4,BT,11,5,6,12.7,38.1,7.9,28.4,,,1
LC4,BT,20,4.7,6,10.9,,8.6,,,,1
LC4,BT,36,2.9,3.8,9.2,40.1,5.2,22.1,,1110,1
LC4,BT,41,4.1,5.4,13.9,,6.6,,,109,1
LC4,BT,43,3.2,3.7,10.6,,7.8,,,,1
LC4,BT,51,3.4,4.2,11.4,,7.5,,,,1
LC4,BT,53,4.2,4.3,11.5,,7.1,,,,1
LC4,BT,64,2.6,2.7,6.9,,4.3,,,,1
LC4,BT,64,3.6,4.4,10.6,38.8,5.5,24.3,,106,1
LC4,BT,67,2.1,2.6,7.2,,4.1,,,,1
LC4,BT,71,4.1,5.2,12.6,48.7,7.2,31.1,,,1
LC4,BT,73,3.4,3.7,10.9,,7.3,,,105,1
LC4,BT,81,3.1,3.7,9.5,34.7,6.1,23.1,,,1
LC4,BT,84,6.1,7,12.3,,4.7,,,,1
LC4,BT,86,3.9,4.6,9.6,39.4,4.5,24.9,,103,1
LC4,BT,90,3.4,4.4,9.5,38.8,4.6,25.3,,,1
LC4,BT,96,5,6.3,11.4,43.8,5.8,22.8,,101,1
LC4,BT,99,3.3,4,9,,3.4,,,,1
LC4,BT,3102,,3.3,,,,,,,10
LC4,BT,4102,,2.2,,,,,,,10
LC4,BT,4202,,5.4,,,,,,,10
LC4,BT,5102,,2.6,,,,,,,10
LC4,BT,5502,,5.4,,,,,,,10
LC4,BT,5602,,4,,,,,,,10
LC4,GB,3302,,2.3,,,,,,,10
LC4,GB,6002,,2.9,,,,,,,10
LC4,GB,7202,,1.9,,,,,,,10
LC4,GB,7302,,2.2,,,,,,,10
LC4,GB,7902,,3.2,,,,,,,10
LC4,PB,3202,,1.5,,,,,,,10
LC4,PB,3802,,2.3,,,,,,,10
